id,dish_name,description,cuisine,ingredient_text,instruction_text,ingredient_count,main_ingredient_count,search_ingredient_count,total_weight_g
75969,补肾补腰的海马猪骨汤,海马田七辅以红枣枸杞，直接加猪骨一起隔水炖3个小时。1专治月子产妇腰酸！2小孩青春期辅助长高！（春天是青春期孩子长高最快的季节)。3男人强身健身，白领久坐办公室，补肾补腰☺,,三四块猪骨，公母配对一对海马，一小把枸杞，4颗红枣，一小撮三七，一小撮花旗参，2-3颗颗桂圆干,"1. 海马剪段，红枣剪开，加上猪骨，枸杞，三七，桂圆干，花旗参一起过一下水
2. 放进炖锅，下七八分水，开炖三小时~
3. 出锅前加入些许盐巴，一盅美味的海马猪骨汤就可以开吃啦！",7,3,4,450.5
75972,健康少油，干煸花菜,健康少油，上手难度低，适合新手学习。,,1颗花椰菜，2个干辣椒，适量花椒，适量盐,"1. 花椰菜切成小段备用
2. 起一锅水，冷水下花菜，煮至7-8分熟熟（水开煮五分钟就差不多了），加盐适量。
3. 蒜切成小颗，干海椒切小段。
4. 一点点油，把切好的蒜和海椒下锅煸炒，出香味之后再把煮好的花菜倒下去继续煸炒。
5. 煸炒2分钟，加点鸡精就可以出锅了。",4,1,1,12.0
75989,香嫩美味入口即化的红烧肉,"今天老公做了一锅红烧肉，入口即化，香嫩无比。虽然我不吃猪肉，但是里面的土豆也非常入味。
家庭版红烧肉，没有多余的步骤，也没有繁文缛节，简单快手还美味！",,一大块五花肉，10块冰糖，1听啤酒,"1. 五花肉，切成块，焯一下水，捞出控干。锅烧空气，热了倒入五花肉翻炒。一直翻炒防止沾锅，直到炒出五花肉的油。
2. 将炒好的五花肉倒出，将多余的油也倒出，不用刷锅，留底油，放入八角，桂皮，香叶，葱段，姜片，翻炒，炒出香气
3. 倒出五花肉，继续翻炒。
4. 倒入提前烧开的水！不能是冷水，要烧开的水。
5. 放入小茴香籽，喜欢吃辣的放几个辣椒。
6. 加入生抽，老抽，一听啤酒。大火烧开。
7. 大火烧开后转中火，可以根据口感加入适当的盐。喜欢吃土豆的也可以加一些土豆块。
8. 炖了约40～50分钟，汤汁很少了，出锅！
9. 真的入口即化，香嫩无比！",3,1,2,400.0
76007,小炒鸡腿肉,,,200克鸡腿肉，1个青椒，半根胡萝卜，适量盐，1勺生抽，半勺老抽，2克胡椒粉，1勺淀粉，1勺料酒，少半勺耗油，适量盐，20克葱姜蒜，3克糖,"1. 将鸡腿肉去骨，切成小丁，放入一勺料酒，一勺生抽，半勺老抽，少半勺耗油，一勺淀粉，少许盐，糖搅拌均匀，腌制几小时入味
2. 胡萝卜洗净切丁，尖椒洗净切成小块备用
3. 锅中热少许油，倒入鸡腿肉翻炒至断生，盛出备用（翻炒时鸡腿肉会出油，所以可以少放一点油）
4. 锅里热油，放入葱姜蒜翻炒，加入尖椒胡萝卜翻炒，放盐调味，快断生时放入鸡腿肉一起翻炒片刻即可出锅",12,6,7,365.0
76028,冬瓜肉丸汤（要点讲解）,很多人做的冬瓜肉丸汤，不是做出来的冬瓜太粉了，失去了美观的颜色和口感，就是肉丸太老了，吃起来不嫩！那我们要怎么解决呢？不妨试试我的菜谱吧！欢迎大家体验后交流心得😁😁,,适量小米冬瓜，半斤猪肉，4瓣蒜，5勺玉米淀粉，一勺鸡精，5勺油，3勺盐，一小块老姜，5粒花椒，10-20粒枸杞，1根小葱,"1. 准备猪肉洗净切块
2. 用刀背或者擀面杖剁成肉泥(也可以用刀刃剁，但是口感和肉质比前者差)
3. 剁到基本碎了就可以加一勺盐，3瓣蒜。继续剁，剁成肉泥为止(是个苦力活，但是是有灵魂的)
4. 完成后撒上玉米淀粉按摩挤压，充分吸收为止，再加上2勺油，继续按摩至充分吸收均匀
5. 准备香料
蒜1瓣
老姜一小块
花椒5粒
小葱切葱花
装盘备用
6. 枸杞适量
装盘备用
7. 冬瓜，切条状。十字对半切。这样形状美观，尽量切的一致大小厚度，这样会受热均匀，不易煮烂。切好装盘备用。
8. 开始制作
起锅放入3勺油，烧至冒轻烟转小火，等10秒后放入香料，用油烫一下就倒入适量水，进行烧汤
9. 水烧开后，加入一勺盐，一勺鸡精
10. 放入冬瓜和枸杞，转大火烧开
11. 烧开后转中小火，（迅速、马上)做丸子(搓圆)一颗颗放入，重点（速度一定要快 快 快！）
12. 全部放好后转大火，烧开，起锅装盘（切记在锅里放太久或者煮太久）
13. 撒上葱花",11,5,5,290.0
76076,汤氏老北京笃鲜茄（独咸茄）,"本着传承和把老北京美食文化发扬光大的信念，这个菜谱想发很久了，今天终于图文并茂的和大家见面了😁笃鲜茄，也有叫笃咸茄，独咸茄，独鲜茄，笃，独，鲜，咸，balabala……反正说的都是它就对了！

照例是从小就吃的一道菜，那个味道，谁吃谁知道，停不下来。
⭐⭐⭐
此方无油，非常健康又美味。
此方中的食材缺一不可，缺了就不是那个味儿了，所以，请不要擅自修改菜谱",,1个圆茄子，适量黄豆，适量香菜，少许葱，一个八角，少许姜，适量盐，适量酱油，适量香油,"1. 准备好食材，黄豆提前泡好。圆茄子对半切开像切西瓜那样婶儿的切成牙儿，再像切凤梨那样婶儿的切成块儿（不要去皮，切好的茄子每一块上都应该有皮）
2. 锅先不要开火。把黄豆控水先均匀铺在锅底
3. 再铺上茄子，再放上葱姜和大料（八角）
4. 往锅里倒清水（凉水就行），水量以没过黄豆，到茄子的半截腰位置即可
5. 盖上锅盖，开中火把水烧开转小火焖煮到黄豆和茄子熟
6. 打开锅盖，看茄子的状态如图就是熟了，用铲子杵一下很轻松杵断。
7. 放入适量酱油，根据自家口味放入盐调味，淋上香油，撒上香菜
8. 搅拌均匀即可出锅。（注意不要把汤汁收的太干，多汁就是这道菜的特点，连汤带菜蒯一勺入口，嗯……好吃！）",9,4,4,100.0
76084,凉拌茄子,"下饭神器。
简单，省时
两个步骤，轻松搞定
(๑>ᴗ<๑)
另外，这个调料也可以拌饭吃",,个茄子，瓣蒜，勺醋，勺生抽，辣椒,"1. 蒜末，葱花，辣椒，酱油，辣椒面，糖，香油，可适当增加韭菜
2. 茄子切丝，蒸熟。最后倒入调料，凉拌即可。",5,3,3,0.0
76101,泡萝卜豇豆炒猪皮粒,,,泡豇豆，几块泡白萝卜，一根泡红萝卜，一块猪皮，一小块泡姜，少许花椒，一个干辣椒,"1. 烧掉猪皮上的毛，洗净，切成小粒
2. 泡豇豆和泡萝卜、泡姜切碎
3. 锅内热油，放入少许花椒，一个干辣椒，再放入猪皮粒，迅速翻炒半分钟左右
4. 放入切好的泡豇豆和泡萝卜、泡姜，继续翻炒1分钟左右（把泡菜炒干点才香），装盘即可食用。（不用放盐，泡菜已经很咸了）",7,1,1,101.0
76115,莲藕焖鸡,"凉风起，秋天来了，吃藕的季节。
排骨已经买不起了，吃鸡吧！",,半只鸡，2节莲藕，6片姜片，3朵香菇，6片泡子姜，4个泡椒，半勺生粉，适量盐，油，生抽,"1. 半只鸡，洗干净，切块。放一点盐，生粉和花生油，搅拌均匀，腌制10分钟。
2. 莲藕削皮，洗干净，整节放电压力锅中，加入两碗水，选择煲汤档。煮好后，放凉切块。水不要倒掉，后面用来焖鸡。
3. 香菇用温水泡软，切小块。切姜片，准备子姜，泡椒切碎。
4. 热锅下油，下姜片爆香。再倒入鸡块，一开始先不要翻炒，中小火慢慢煎香，再翻面，把两面煎至焦黄。
5. 倒入香菇炒香，再加入一点生抽给鸡块上色。
6. 倒入莲藕一起炒香，然后加入炖莲藕时剩的水。盖上盖子，中小火焖8分钟。
7. 打开盖子，加入泡椒和子姜，翻炒均匀。大火收汁，加入生抽和盐调味即可。可以撒点葱花。",8,3,3,510.5
76130,苦瓜汤,这个汤是家里最经常煲的，广东人也特爱喝，很经典的一款广东汤,,2根苦瓜，克筒骨，黄豆,"1. 先把食材洗干净
2. 把苦瓜切成这样一块一块的
3. 水大火烧开，把筒骨放进去，然后煮开，要把浮末撇干净
4. 把浮末撇干净后再把苦瓜，黄豆放进去
5. 一定要小火炖，或者文火，炖两个小时左右，关火前再放两小勺盐，我这个炉灶调不了文火，所以调成最小火，能文火最好了，广东汤都是文火慢慢炖两个小时以上炖出来的",3,2,2,500.0
76132,姜丝炒鸡腿,,,2只鸡腿，3片姜丝，2条青红辣椒圈，4瓣蒜末，2勺生抽，1勺蚝油，少许盐，少许糖，1勺料酒，1勺老抽,"1. 鸡腿切小块，洗干净控干水分
2. 2勺酱油，老抽1勺上色，1勺糖，1勺料酒，腌15分钟
3. 腌鸡腿的同时，处理一下蒜头，姜丝，红辣椒，青辣椒
4. 热油，蒜头姜丝炒香
5. 大火倒入鸡腿稍炒片刻，倒入腌制是的汤汁，转中火盖上锅盖焖一会，开锅下蚝油
6. 下蚝油后继续中火翻炒！
7. 汤汁稍微收干时，下青红辣椒圈，翻炒，试味，不够咸的话，可以下一点点盐
8. 上桌，超级下饭！鸡腿肉嫩，孩子也嚼的动！汤汁淋饭，2大碗饭没问题！",10,3,4,320.0
76151,小牛柳烩香芹,,,1块牛柳，香芹，红甜椒，蒜末,"1. 将香芹，红甜椒洗净，香芹用刀背轻拍后切段，红甜椒切丝备用
2. 牛肉解冻至外软内稍硬的程度，将表面筋膜剔除后横纹切薄片，清水中漂洗后拧干备用
3. 制作牛肉腌制酱汁：2勺BBQ+1勺黑椒汁+几滴柠檬汁+1勺豉油+1/2勺老抽、加入适量水将其搅拌均匀
4. 将3中调好的腌酱汁慢慢倒入步骤2牛肉中，边倒边搅拌，让牛肉把腌酱汁“吃”掉(即牛里脊呈膨胀状态)，将牛柳腌制约20分钟，撒上干淀粉拌匀，再浇一大勺油拌匀备用
5. 开火热锅中温油（油要多些），将4中牛肉倒入，转动炒锅快速滑溜，肉变色起锅控油
6. 另起一炒锅，加入适量油，蒜末爆香锅，喷点料酒，猛火快炒1中菜蔬，断生后加入5中牛肉一同翻炒几下，加适量豉油起锅即可",4,3,4,100.0
76172,轻脂！健康！鲜虾藜麦沙拉+紫薯银耳羹+蟹味菇玉豆腐【北鼎双层蒸锅食谱】,夏日特别害怕开油锅烹炒，一顿饭就是一身汗，用双层蒸锅蒸了一顿轻脂的晚餐，主食用蒸的鲜虾藜麦拌了沙拉，配菜是蟹味菇煨的日式豆腐，甜汤炖了紫薯银耳羹，出胶很绵密，蒸煮的新方式确实很适合盛夏的厨房.,,【蟹味菇玉豆腐】，半盒蟹味菇，2条日本豆腐，少许椰油，约15克鸡汁，椰子油，【鲜虾藜麦冰草沙拉】，约10只鲜虾，一小把三色藜麦，4棵冰草，一小把苦苣，少许椰子油，适量芝麻沙拉酱，【紫薯银耳羹】，约50克紫薯，半朵银耳，约30克黄冰糖,"1. 【鸡汁蟹味菇豆腐】备料，日本豆腐切小块，蟹味菇剪去根部，切小段，鸡汁，备好；
2. 取出蒸炖杯，一侧炖杯中，加入日本豆腐、蟹味菇、鸡汁，椰油少许，如果喜欢汁多一点可以浇饭的话，可以加点清水，与食材齐平就行；
3. 【紫薯银耳羹】备料：银耳泡发后，去蒂撕成小块，紫薯去皮切小块；
4. 另一侧炖杯中，放入银耳、紫薯、黄冰糖，加入清水；
5. 将装好食材的炖杯放入电蒸锅中，盖上盖子，蒸锅水位加至最高水位；
6. 放上第二层蒸架；
7. 再放上屉层；
8. 将虾洗净剪去虾须，再将三色藜麦按照日常煮饭的量加水，滴几滴椰子油，一同放上二层蒸屉；
9. 盖上盖子，“蒸”模式40分钟，然后开始蒸煮；
10. 透过蒸锅的玻璃盖子，看到虾蒸熟变红透之后，先取出晾凉，过下冰水；
11. 过完冰水的虾，去头去壳，去虾线，冰草、苦苣洗净，控干水分备用；
12. 处理完沙拉菜所需材料后，炖煮的其他食物也好了；
13. 将冰草、苦苣、藜麦、鲜虾，装盘淋上芝麻沙拉酱，拌匀即可食用；
14. 蒸煮的新方式，健康方便又美味！",13,5,5,1977.5
76198,好吃的蒜蓉西兰花的秘诀,,,1朵西兰花，3瓣蒜，适量盐，适量油，适量酱油或蚝油,1. 好吃美丽的蒜茸西兰花有三个秘诀，一是焯水时：水滚后放入一点盐和一点油，西兰花的颜色能更翠绿；二是西兰花不能焯太长时间，大约30s-1min；三是凉油凉锅，小火煎蒜末，蒜香出来以后再大火翻炒西兰花。0失败，好评100%，快点试试,5,2,2,315.0
