id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1379,五香粉耗油生抽,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1380,五香粉花椒小米辣醋,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1381,五香蒸肉粉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1382,五香豆干,processed,,扩展食材,processed,0,1,verified,3,加工、半成品、乳制品或饮品
1383,五香豆腐,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1384,五香豆腐干,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1385,五香黄豆,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1386,亚太鱼豆腐,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1387,亚麻籽油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1388,亚麻籽粉,other_food,,扩展食材,other_food,0,1,review,2,菜谱实际使用名称，待进一步规范
1389,些白胡椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1390,些白芝麻,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1391,些许姜蒜,composite,,扩展食材,composite,0,1,verified,1,明确多食材组合，组成见桥接表
1392,些许小青菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1393,些许干辣椒,seasoning,,扩展食材,seasoning,0,1,verified,3,调味料
1394,些许干辣椒末,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1395,些许料酒,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1396,些许料酒可省,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1397,些许片香叶,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1398,些许生抽,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1399,些许白糖,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1400,些许白胡椒粉可省,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1401,些许盐,other_food,,扩展食材,other_food,0,1,review,3,菜谱实际使用名称，待进一步规范
1402,些许花椒大料,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
