id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason
1589,六月香葱伴侣豆瓣酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1590,六月香豆瓣酱,seasoning,,扩展食材,seasoning,0,1,verified,6,调味料
1591,六月香酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1592,六月鲜,other_food,,扩展食材,other_food,0,1,review,5,菜谱实际使用名称，待进一步规范
1593,六月鲜特级原汁酱油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1594,六月鲜特级酱油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1595,六月鲜生抽,seasoning,,扩展食材,seasoning,0,1,verified,3,调味料
1596,六月鲜豆瓣酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1597,六月鲜酱油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1598,六瘦肉四肥肉肉糜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1599,兰花豆腐干,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1600,共料酒,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1601,共泡红辣椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1602,共胡萝卜&黄萝卜,composite,,扩展食材,composite,0,1,review,1,疑似复合名称，组成未完全确认
1603,共花椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1604,共青辣椒红辣椒,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1605,其中一面表面,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1606,其他,generic,,扩展食材,generic,0,1,review,4,宽泛名称，保留原义而不猜测具体品种
1607,其他你喜欢各种菜,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1608,其他各种绿菜添加,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1609,其他喜欢菜,generic,,扩展食材,generic,0,1,review,2,宽泛名称，保留原义而不猜测具体品种
1610,其他料,generic,,扩展食材,generic,0,1,review,2,宽泛名称，保留原义而不猜测具体品种
1611,其他材料,generic,,扩展食材,generic,0,1,review,2,宽泛名称，保留原义而不猜测具体品种
1612,其他果脯,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1613,其他根据自己口味增加,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1614,其他海鲜,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1615,其他蔬菜,generic,,扩展食材,generic,0,1,review,3,宽泛名称，保留原义而不猜测具体品种
1616,其他配料,generic,,扩展食材,generic,0,1,review,2,宽泛名称，保留原义而不猜测具体品种
1617,其他食材,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1618,其他香料,generic,,扩展食材,generic,0,1,review,1,宽泛名称，保留原义而不猜测具体品种
1619,其它,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1620,其实调料如料酒油糖盐,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1621,具体材料见步骤,non_food,,扩展食材,non_food,0,0,review,1,疑似工具、包装或操作说明
1622,具体量没算,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1623,内脂豆腐,processed,,扩展食材,processed,0,1,verified,14,加工、半成品、乳制品或饮品
1624,内酯,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1625,内酯豆腐,processed,,扩展食材,processed,0,1,verified,22,加工、半成品、乳制品或饮品
1626,内鲍鱼菇,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1627,农家大酱,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1628,农家腐竹,processed,,扩展食材,processed,0,1,verified,1,加工、半成品、乳制品或饮品
1629,农家蛋,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1630,冠军豆,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1631,冠利红椰菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1632,冠利腌番茄,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1633,冠利鸡尾洋葱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1634,冠生园宴会汁鲜味酱油,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1635,冬乌,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1636,冬瓜钱,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1637,冬笋尖,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1638,冬粉,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1639,冬苋菜,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1640,冬茹,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1641,冬阴功块,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
1642,冬阴功底料,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1643,冬阴功料包,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1644,冬阴功汤料,seasoning,,扩展食材,seasoning,0,1,verified,1,调味料
1645,冬阴功酱,seasoning,,扩展食材,seasoning,0,1,verified,2,调味料
1646,冰格冰块,other_food,,扩展食材,other_food,0,1,review,1,菜谱实际使用名称，待进一步规范
