id,original_name,cleaned_name,changed,rules
123692,家常版简单又下饭的青椒洋葱炒牛肉,又下饭的青椒洋葱炒牛肉,1,删除场景定语；删除营销定语
123700,小炒泡豇豆,小炒泡豇豆,0,未修改
123737,"很好吃,很简单-肉段烧茄子",很好吃,1,删除宣传后句
123765,甜虾炒西兰花,甜虾炒西兰花,0,未修改
123788,辣炒田螺(家常版),辣炒田螺,1,删除括号说明
123823,素食.鲜菇西兰花炒胡萝卜,素食.鲜菇西兰花炒胡萝卜,0,未修改
123828,客家小炒鱼,客家小炒鱼,0,未修改
123832,连吃两份的豆角（四季豆）焖面,连吃两份的豆角焖面,1,删除括号说明
123837,芦笋炒虾仁,芦笋炒虾仁,0,未修改
123846,低油好吃的蘑菇小白菜豆拌豆腐丝（范志红版）,低油好吃的蘑菇小白菜豆拌豆腐丝,1,删除括号说明
123865,炝炒小白菜,炝炒小白菜,0,未修改
123866,洋葱炒红肠,洋葱炒红肠,0,未修改
123885,红焖羊肉不焯水巧去腥膻味,红焖羊肉不焯水巧去腥膻味,0,未修改
123906,吮指糖醋虾,吮指糖醋虾,0,未修改
123950,红萝卜花生猪手汤➕甜酸猪手,红萝卜花生猪手汤甜酸猪手,1,删除装饰符号
123964,土豆香肠炖豆角,土豆香肠炖豆角,0,未修改
124008,香菇浇油菜,香菇浇油菜,0,未修改
124040,白菜帮炒香干,白菜帮炒香干,0,未修改
124060,牛肉米粉汤/牛肉粉丝汤,牛肉米粉汤/牛肉粉丝汤,0,未修改
124115,不用蟹黄的蟹黄豆腐,不用蟹黄的蟹黄豆腐,0,未修改
124140,炒儿菜,炒儿菜,0,未修改
124171,剁椒鱼头,剁椒鱼头,0,未修改
124191,洋葱炒土豆片,洋葱炒土豆片,0,未修改
124233,好吃的黄瓜炒肉,黄瓜炒肉,1,删除营销定语
124246,酸萝卜老鸭汤,酸萝卜老鸭汤,0,未修改
124332,小美版虾仁炒蒜叶,小美版虾仁炒蒜叶,0,未修改
124353,快手娃娃菜肉丝面疙瘩,娃娃菜肉丝面疙瘩,1,删除营销定语
124363,黑暗料理-香辣洋葱（香辣下饭）,黑暗料理-香辣洋葱,1,删除括号说明
124373,经典川菜—蒜泥白肉（瘦肉版本），堪称米饭杀手！,经典川菜—蒜泥白肉,1,删除括号说明；删除宣传后句
124382,鸡腿菇炒肥牛,鸡腿菇炒肥牛,0,未修改
124392,蒜蓉金针菇娃娃菜,蒜蓉金针菇娃娃菜,0,未修改
124399,沙姜鸡,沙姜鸡,0,未修改
124400,仔姜肉丝,仔姜肉丝,0,未修改
