old_id,name,usage_count,category_major,possible_candidates,sample_raw_text,sample_dish_ids,reason
356,野山椒,42,蔬菜类及其制品,,两瓶（就是超市卖的那种大约3元左右一瓶）罐装野山椒 || 一瓶野山椒 || 30g野山椒,78|2564|3660,名称过于宽泛或形态含义不明确，禁止猜测映射
371,拉面,40,谷类及其制品,,300g拉面（挂面） || 1块拉面 || 一人份拉面,159|3552|3743,可能是原生食材，但频次、命名或类别证据不足
376,紫薯粉,40,薯类淀粉及其制品,,10克紫薯粉 || 适量紫薯粉 || 2g紫薯粉,371|1309|1350,可能是原生食材，但频次、命名或类别证据不足
387,手擀面,39,谷类及其制品,,适量手擀面 || 300g手擀面 || 100克手擀面,2049|2807|2917,可能是原生食材，但频次、命名或类别证据不足
396,葱蒜,39,蔬菜类及其制品,葱|蒜,葱蒜（可选） || 适量葱蒜 || 葱蒜    若干,556|1845|3236|4914|5321,明确包含多个独立食材；关系保守保留原文，克数不拆分
403,肥肉,38,畜肉类及其制品,,适量肥肉(炼猪油) || 肥肉 || 50克肥肉,981|2828|3480,名称过于宽泛或形态含义不明确，禁止猜测映射
406,细面,38,谷类及其制品,,100克细面 || 细面 || 500克细面,19546|28791|32280,可能是原生食材，但频次、命名或类别证据不足
413,南瓜粉,37,蔬菜类及其制品,,适量南瓜粉 || 10克南瓜粉 || 5克(用南瓜泥的话水量可以酌情减或不加水)南瓜粉,1309|4697|5197,可能是原生食材，但频次、命名或类别证据不足
419,绿叶菜,37,蔬菜类及其制品,,适量绿叶菜 || 绿叶菜 || 把绿叶菜,8777|10160|10987|14458,名称过于宽泛或形态含义不明确，禁止猜测映射
436,草莓粉,36,水果类及其制品,,6g草莓粉（冻干粉不是速溶果汁粉） || 10克草莓粉（上色效果不好 可以用红丝绒液代替） || 适量草莓粉,3501|4697|18402,可能是原生食材，但频次、命名或类别证据不足
438,肉糜,36,畜肉类及其制品,,适量肉糜 || 100克肉糜 || 80克肉糜,1485|1512|4358,名称过于宽泛或形态含义不明确，禁止猜测映射
440,龙须面,36,谷类及其制品,,2人份龙须面 || 200克龙须面 || 一小把龙须面,6226|14520|23702,可能是原生食材，但频次、命名或类别证据不足
444,果仁,36,坚果种子类,,适量果仁 || 果仁 || 40g果仁（花生核桃杏仁）,1873|2286|2473,名称过于宽泛或形态含义不明确，禁止猜测映射
