alias_name,catalog_ingredient_id,canonical_name,usage_count,source
/生姜片,3,姜,1,dish_ingredients.raw_name
/生抽,657,/生抽,11,dish_ingredients.raw_name
/生粉,658,/生粉,1,dish_ingredients.raw_name
/白洋葱,5,洋葱,3,dish_ingredients.raw_name
/白砂糖,659,/白砂糖,3,dish_ingredients.raw_name
/白糖,660,/白糖,14,dish_ingredients.raw_name
/白胡椒,661,/白胡椒,2,dish_ingredients.raw_name
/白胡椒粉,662,/白胡椒粉,7,dish_ingredients.raw_name
/白菜,29,白菜,2,dish_ingredients.raw_name
/白酒,663,/白酒,1,dish_ingredients.raw_name
/盐,664,/盐,59,dish_ingredients.raw_name
/盒装血豆腐,665,/盒装血豆腐,1,dish_ingredients.raw_name
/砂糖,666,/砂糖,1,dish_ingredients.raw_name
/米醋,667,/米醋,1,dish_ingredients.raw_name
/精盐,668,/精盐,1,dish_ingredients.raw_name
/糖,669,/糖,30,dish_ingredients.raw_name
/紫洋葱,5,洋葱,1,dish_ingredients.raw_name
/紫甘蓝,99,紫甘蓝,1,dish_ingredients.raw_name
/红尖椒,181,红尖椒,1,dish_ingredients.raw_name
/红椒,49,红椒,3,dish_ingredients.raw_name
/红椒粉,670,/红椒粉,1,dish_ingredients.raw_name
/红烧酱油,671,/红烧酱油,1,dish_ingredients.raw_name
/红糖,672,/红糖,1,dish_ingredients.raw_name
/红菜椒,673,/红菜椒,1,dish_ingredients.raw_name
/红萝卜,6,胡萝卜,1,dish_ingredients.raw_name
/红辣椒,50,红辣椒,2,dish_ingredients.raw_name
/细砂糖,674,/细砂糖,1,dish_ingredients.raw_name
/老抽,675,/老抽,24,dish_ingredients.raw_name
/老鸡,676,/老鸡,1,dish_ingredients.raw_name
/耗油,677,/耗油,2,dish_ingredients.raw_name
/肉豆蔻粉,678,/肉豆蔻粉,1,dish_ingredients.raw_name
/肥牛,66,肥牛,1,dish_ingredients.raw_name
/胡桃,587,胡桃,1,dish_ingredients.raw_name
/胡椒粉,679,/胡椒粉,4,dish_ingredients.raw_name
/胡萝卜,6,胡萝卜,41,dish_ingredients.raw_name
/胡萝卜🥕,680,/胡萝卜🥕,1,dish_ingredients.raw_name
/胡蘿蔔,681,/胡蘿蔔,1,dish_ingredients.raw_name
/腊鸭,682,/腊鸭,1,dish_ingredients.raw_name
/自制熟油海椒,683,/自制熟油海椒,1,dish_ingredients.raw_name
/芋头,73,芋头,1,dish_ingredients.raw_name
/花椒,684,/花椒,2,dish_ingredients.raw_name
/花椒油,685,/花椒油,3,dish_ingredients.raw_name
/花椒粉,686,/花椒粉,2,dish_ingredients.raw_name
/花菜,130,花菜,3,dish_ingredients.raw_name
/花雕,687,/花雕,1,dish_ingredients.raw_name
/茄子,110,茄子,1,dish_ingredients.raw_name
/莲花白,688,/莲花白,1,dish_ingredients.raw_name
/莴笋,145,莴笋,1,dish_ingredients.raw_name
/菠萝,67,菠萝,2,dish_ingredients.raw_name
/萝卜,59,萝卜,2,dish_ingredients.raw_name
/葫芦卜,689,/葫芦卜,1,dish_ingredients.raw_name
/葱,1,葱,17,dish_ingredients.raw_name
/蒜,2,蒜,3,dish_ingredients.raw_name
/蔬之鲜鸡精,690,/蔬之鲜鸡精,1,dish_ingredients.raw_name
/蘑菇粉,691,/蘑菇粉,1,dish_ingredients.raw_name
/蘑菇精,692,/蘑菇精,5,dish_ingredients.raw_name
/蚝油,693,/蚝油,19,dish_ingredients.raw_name
/蛋清,52,蛋清,2,dish_ingredients.raw_name
/蜂蜜,694,/蜂蜜,1,dish_ingredients.raw_name
/蟹味菇,134,蟹味菇,1,dish_ingredients.raw_name
/西兰花,53,西兰花,7,dish_ingredients.raw_name
/西红柿,14,番茄,1,dish_ingredients.raw_name
/西葫芦,69,西葫芦,2,dish_ingredients.raw_name
/豆瓣酱,695,/豆瓣酱,1,dish_ingredients.raw_name
/豆腐,696,/豆腐,1,dish_ingredients.raw_name
/豆腐丝,697,/豆腐丝,1,dish_ingredients.raw_name
/豆豉,698,/豆豉,2,dish_ingredients.raw_name
/豆豉辣椒,699,/豆豉辣椒,1,dish_ingredients.raw_name
/走地鸡,700,/走地鸡,1,dish_ingredients.raw_name
/辣椒,17,辣椒,1,dish_ingredients.raw_name
/适量老抽,701,/适量老抽,1,dish_ingredients.raw_name
/郫县豆瓣酱,702,/郫县豆瓣酱,1,dish_ingredients.raw_name
/酱油,703,/酱油,9,dish_ingredients.raw_name
/醋,704,/醋,8,dish_ingredients.raw_name
/金南瓜,705,/金南瓜,1,dish_ingredients.raw_name
/金针菇,46,金针菇,1,dish_ingredients.raw_name
/铁棍山药,183,铁棍山药,1,dish_ingredients.raw_name
/陈醋,706,/陈醋,3,dish_ingredients.raw_name
/雪梨,202,雪梨,1,dish_ingredients.raw_name
/雪碧,707,/雪碧,1,dish_ingredients.raw_name
/青木瓜,708,/青木瓜,1,dish_ingredients.raw_name
/青柠檬,22,柠檬,1,dish_ingredients.raw_name
/青椒,11,青椒,11,dish_ingredients.raw_name
/青瓜,19,黄瓜,1,dish_ingredients.raw_name
/青笋,709,/青笋,1,dish_ingredients.raw_name
/青红椒,710,/青红椒,1,dish_ingredients.raw_name
/韩国泡菜,711,/韩国泡菜,1,dish_ingredients.raw_name
/食油,712,/食油,2,dish_ingredients.raw_name
/食盐,713,/食盐,3,dish_ingredients.raw_name
/香叶,714,/香叶,1,dish_ingredients.raw_name
/香油,715,/香油,9,dish_ingredients.raw_name
/香醋,716,/香醋,3,dish_ingredients.raw_name
/马铃薯淀粉,717,/马铃薯淀粉,1,dish_ingredients.raw_name
/鱼露,718,/鱼露,3,dish_ingredients.raw_name
/鸡,719,/鸡,2,dish_ingredients.raw_name
/鸡粉,720,/鸡粉,1,dish_ingredients.raw_name
/鸡精,721,/鸡精,17,dish_ingredients.raw_name
/鸡精或者白糖,722,/鸡精或者白糖,1,dish_ingredients.raw_name
/鸡胸肉,15,鸡胸肉,1,dish_ingredients.raw_name
/鸡蛋,7,鸡蛋,2,dish_ingredients.raw_name
/鸡蛋液,7,鸡蛋,1,dish_ingredients.raw_name
/鸭,723,/鸭,1,dish_ingredients.raw_name
/鸭架子,724,/鸭架子,1,dish_ingredients.raw_name
/鸭肉,242,鸭肉,2,dish_ingredients.raw_name
/鸭血,322,鸭血,1,dish_ingredients.raw_name
/鹅,725,/鹅,1,dish_ingredients.raw_name
/麻椒,726,/麻椒,1,dish_ingredients.raw_name
/麻油,727,/麻油,3,dish_ingredients.raw_name
/麻辣香锅底料,728,/麻辣香锅底料,1,dish_ingredients.raw_name
/黄瓜,19,黄瓜,2,dish_ingredients.raw_name
/黄记煌海鲜汁,729,/黄记煌海鲜汁,1,dish_ingredients.raw_name
/黄记煌酱汁,730,/黄记煌酱汁,1,dish_ingredients.raw_name
/黑胡椒,731,/黑胡椒,1,dish_ingredients.raw_name
/黑胡椒粉,732,/黑胡椒粉,1,dish_ingredients.raw_name
______腌肉调料,733,______腌肉调料,1,dish_ingredients.raw_name
