id,name,usage_count,reason
131,法棍,45,不属于指南允许的基础原生食材类别
132,海米,45,成品、半成品或加工食品
133,馄饨皮,45,成品、半成品或加工食品
134,桃胶,45,成品、半成品或加工食品
135,巧克力粉,45,烘焙或乳制加工食品
136,脱脂牛奶,44,饮料、酒类或乳制品不属于本版核心原生食材
137,丁香,44,不属于指南允许的基础原生食材类别
138,蛋糕粉,44,烘焙或乳制加工食品
139,九层塔,44,不属于指南允许的基础原生食材类别
140,汤圆,43,不属于指南允许的基础原生食材类别
141,戚风蛋糕胚,43,烘焙或乳制加工食品
142,蜜豆,43,成品、半成品或加工食品
143,方便面,43,成品、半成品或加工食品
144,柠檬皮屑,43,不属于指南允许的基础原生食材类别
145,可乐,43,饮料、酒类或乳制品不属于本版核心原生食材
146,蓝莓干,43,成品、半成品或加工食品
147,蛋白粉,43,饮料、酒类或乳制品不属于本版核心原生食材
148,馒头,43,成品、半成品或加工食品
149,熟花生,43,成品、半成品或加工食品
150,那种,41,不属于指南允许的基础原生食材类别
151,虾干,41,成品、半成品或加工食品
152,葱姜水,41,成品、半成品或加工食品
153,披萨草,41,成品、半成品或加工食品
154,全麦面包,41,烘焙或乳制加工食品
155,干酪,41,饮料、酒类或乳制品不属于本版核心原生食材
156,花甲,40,不属于指南允许的基础原生食材类别
157,剁辣椒,40,成品、半成品或加工食品
158,饮水,40,不属于指南允许的基础原生食材类别
159,蟹肉棒,40,成品、半成品或加工食品
160,酸黄瓜,40,成品、半成品或加工食品
161,奶油芝士,39,烘焙或乳制加工食品
162,冰淇淋,39,成品、半成品或加工食品
163,粽叶,39,不属于指南允许的基础原生食材类别
164,香干,38,成品、半成品或加工食品
165,鱼饼,38,成品、半成品或加工食品
166,竹炭粉,38,不属于指南允许的基础原生食材类别
167,豆皮,38,豆制品或淀粉制品（严格模式排除）
168,混合香料,38,不属于指南允许的基础原生食材类别
169,干果,38,不属于指南允许的基础原生食材类别
170,奶酪片,37,烘焙或乳制加工食品
171,烧烤料,37,不属于指南允许的基础原生食材类别
172,气泡水,37,不属于指南允许的基础原生食材类别
173,龙口粉丝,37,豆制品或淀粉制品（严格模式排除）
174,花胶,37,不属于指南允许的基础原生食材类别
175,养乐多,37,不属于指南允许的基础原生食材类别
176,鲜牛奶,37,饮料、酒类或乳制品不属于本版核心原生食材
177,慕斯,37,成品、半成品或加工食品
178,豆腐干,37,豆制品或淀粉制品（严格模式排除）
179,帕玛森芝士,37,烘焙或乳制加工食品
180,番茄膏,36,成品、半成品或加工食品
181,笋干,36,成品、半成品或加工食品
182,芋圆,36,成品、半成品或加工食品
183,茶包,36,不属于指南允许的基础原生食材类别
184,美乃滋,36,不属于指南允许的基础原生食材类别
185,树莓,36,不属于指南允许的基础原生食材类别
186,冷开水,36,不属于指南允许的基础原生食材类别
187,米线,36,成品、半成品或加工食品
188,全脂奶粉,36,烘焙或乳制加工食品
189,鲜奶,36,饮料、酒类或乳制品不属于本版核心原生食材
190,二荆条,36,不属于指南允许的基础原生食材类别
191,西蓝花,36,不属于指南允许的基础原生食材类别
192,牛奶巧克力,36,烘焙或乳制加工食品
193,速溶咖啡粉,35,饮料、酒类或乳制品不属于本版核心原生食材
194,脱脂奶粉,35,烘焙或乳制加工食品
195,亚麻籽粉,35,不属于指南允许的基础原生食材类别
196,水油皮,35,不属于指南允许的基础原生食材类别
197,吐司面包,35,烘焙或乳制加工食品
198,冻豆腐,34,豆制品或淀粉制品（严格模式排除）
199,番茄罐头,34,成品、半成品或加工食品
200,塔塔粉,34,不属于指南允许的基础原生食材类别
201,猪油渣,34,成品、半成品或加工食品
202,蛋白霜,34,成品、半成品或加工食品
203,熟黑芝麻,34,成品、半成品或加工食品
204,内酯豆腐,33,豆制品或淀粉制品（严格模式排除）
205,淡奶,33,饮料、酒类或乳制品不属于本版核心原生食材
206,饺子粉,33,成品、半成品或加工食品
207,各种水果,33,不属于指南允许的基础原生食材类别
208,党参,33,不属于指南允许的基础原生食材类别
209,茉莉花茶,33,饮料、酒类或乳制品不属于本版核心原生食材
210,红烧肉,33,成品、半成品或加工食品
211,土司,33,不属于指南允许的基础原生食材类别
212,雪菜,32,成品、半成品或加工食品
213,酸萝卜,32,成品、半成品或加工食品
214,泡姜,32,成品、半成品或加工食品
215,意粉,32,不属于指南允许的基础原生食材类别
216,发酵粉,32,不属于指南允许的基础原生食材类别
217,橘子皮,32,不属于指南允许的基础原生食材类别
218,乳酪,32,饮料、酒类或乳制品不属于本版核心原生食材
219,剩米饭,31,成品、半成品或加工食品
220,骨头,31,不属于指南允许的基础原生食材类别
221,低脂牛奶,31,饮料、酒类或乳制品不属于本版核心原生食材
222,凉白开水,31,不属于指南允许的基础原生食材类别
223,藕粉,31,成品、半成品或加工食品
224,珍珠,31,不属于指南允许的基础原生食材类别
225,中筋粉,31,不属于指南允许的基础原生食材类别
226,旺仔牛奶,31,饮料、酒类或乳制品不属于本版核心原生食材
227,乌龙茶,31,饮料、酒类或乳制品不属于本版核心原生食材
228,饺子,31,成品、半成品或加工食品
229,马蹄粉,31,不属于指南允许的基础原生食材类别
230,橄榄菜,31,成品、半成品或加工食品
231,全麦吐司,31,烘焙或乳制加工食品
232,水磨糯米粉,30,成品、半成品或加工食品
233,隔夜饭,30,不属于指南允许的基础原生食材类别
234,容器,30,工具、包装或操作说明
235,面包屑,30,烘焙或乳制加工食品
236,红茶包,30,不属于指南允许的基础原生食材类别
237,蛋糕底,30,烘焙或乳制加工食品
238,自发粉,30,不属于指南允许的基础原生食材类别
239,桂圆干,29,不属于指南允许的基础原生食材类别
240,隔夜米饭,29,成品、半成品或加工食品
241,各种香料,29,不属于指南允许的基础原生食材类别
242,香草荚,29,成品、半成品或加工食品
243,韩国泡菜,29,成品、半成品或加工食品
244,卤牛肉,29,成品、半成品或加工食品
245,速溶咖啡,29,饮料、酒类或乳制品不属于本版核心原生食材
246,脊骨,29,不属于指南允许的基础原生食材类别
