dish_id,ingredient_id,source_ingredient_id,match_type
1477,7,7,direct
1479,1,1,direct
1479,3,3,direct
1499,1,1,direct
1499,2,2,direct
1499,3,3,direct
1499,9,9,direct
1499,11,11,direct
1499,49,49,direct
1499,95,95,direct
1499,206,206,direct
1503,1,1,split
1503,2,2,split
1503,3,3,split
1503,234,234,direct
1503,590,234,ancestor
1514,1,1,direct
1514,2,2,direct
1514,3,3,direct
1517,3,3,direct
1517,590,590,direct
1522,4,10,ancestor
1522,10,10,direct
1522,104,104,direct
1522,362,362,direct
1535,48,48,direct
1551,18,18,direct
1551,142,142,direct
1578,4,4,direct
1578,29,29,direct
1578,48,48,direct
1630,1,1,direct
1630,2,2,direct
1630,3,3,direct
1630,8,8,direct
1630,11,11,direct
1630,184,184,direct
1645,3,3,direct
1645,4,10,ancestor
1645,10,10,direct
1678,7,7,direct
1678,337,337,direct
1694,1,1,direct
1694,2,2,direct
1694,4,4,direct
1694,6,6,direct
1694,7,7,direct
1694,76,76,direct
1696,1,1,direct
1696,2,2,direct
1696,3,3,direct
1707,1,1,direct
1707,2,2,direct
1707,3,3,direct
1707,12,12,direct
1707,23,23,direct
1707,91,91,direct
1722,5,5,direct
1722,83,83,direct
1725,7,7,direct
1725,11,11,direct
1761,1,1,direct
1761,2,2,direct
1761,12,12,direct
1763,1,1,direct
1763,2,2,direct
1763,3,3,direct
1763,6,6,direct
1763,7,7,direct
1763,14,14,direct
1763,15,15,direct
1763,23,23,direct
1763,24,15,ancestor
1768,1,1,direct
1768,7,7,direct
1768,11,11,direct
1794,2,2,direct
1794,11,11,direct
1794,91,91,direct
1802,5,5,direct
1802,7,7,direct
1802,15,15,direct
1802,24,15,ancestor
1823,1,1,direct
1823,3,3,direct
1823,29,29,direct
1845,1,1,split
1845,2,2,split
1845,11,11,direct
1856,1,1,split
1856,2,2,split
1856,3,3,split
1856,4,203,ancestor
1856,7,7,direct
1856,91,91,direct
1856,203,203,direct
1877,3,3,direct
1884,1,1,direct
1884,3,3,direct
1884,590,590,direct
1901,94,94,direct
1901,96,96,direct
1901,242,242,direct
1910,2,2,direct
1910,3,3,direct
1910,11,11,direct
1910,49,49,direct
1910,369,369,direct
1910,590,369,ancestor
1917,2,2,direct
1917,3,3,direct
1917,5,5,direct
1917,50,50,direct
1917,80,80,direct
1987,6,6,direct
1987,13,13,direct
1987,15,15,direct
1987,24,15,ancestor
1987,60,60,direct
2002,2,2,direct
2003,1,1,direct
2005,3,3,direct
2005,330,330,direct
2005,590,330,ancestor
2010,6,6,direct
2010,15,15,direct
2010,24,15,ancestor
2010,60,60,direct
2011,53,53,direct
2023,2,2,direct
2023,14,14,direct
2023,18,18,direct
2023,23,23,direct
2023,41,41,direct
2023,46,46,direct
2023,70,70,direct
2023,590,41,ancestor
2024,1,1,direct
2024,2,2,split
2024,3,3,split
2024,8,8,direct
2029,1,1,direct
2029,3,3,direct
2042,2,2,direct
2042,4,4,direct
2042,70,70,direct
2044,3,3,direct
2044,4,4,direct
2045,1,1,direct
2045,2,2,direct
2045,23,23,direct
2045,91,91,direct
2085,2,2,direct
2085,18,18,direct
2085,264,264,direct
2139,6,6,direct
2139,23,23,direct
2139,163,163,direct
2139,248,248,direct
2147,180,180,direct
2185,2,2,direct
2185,26,26,direct
2185,40,40,direct
2195,59,59,direct
2195,111,111,direct
2203,84,84,direct
2205,2,2,direct
2205,7,7,direct
2205,40,40,direct
2205,95,95,direct
2248,2,2,direct
2248,5,5,direct
2248,8,8,direct
2248,46,46,direct
2253,243,243,direct
2330,1,1,direct
2330,2,2,direct
2330,3,3,direct
2335,23,23,direct
2355,2,2,direct
2355,3,3,direct
2355,327,327,direct
2364,1,1,direct
2364,3,3,direct
2364,24,589,ancestor
2364,278,278,direct
2364,589,589,direct
2366,11,11,direct
2366,12,12,direct
2389,3,3,direct
2389,57,57,direct
2389,58,58,direct
2389,63,63,direct
2399,3,3,direct
2399,19,19,direct
2407,1,1,direct
2407,3,3,direct
2407,6,6,direct
2407,13,13,direct
2417,1,1,direct
2417,2,2,direct
2417,11,11,direct
2417,12,12,direct
2417,110,110,direct
2418,8,8,direct
2418,104,104,direct
2426,2,2,direct
2426,12,12,direct
2426,84,84,direct
2428,3,3,direct
2428,590,590,direct
2434,2,2,direct
2435,227,227,direct
2454,13,13,direct
2461,3,3,direct
2461,5,5,direct
2461,8,8,direct
2461,11,11,direct
2491,2,2,direct
2491,3,3,direct
2491,11,11,direct
2491,24,24,direct
2491,36,36,direct
2492,3,3,direct
2492,5,5,direct
2492,11,11,direct
2539,1,1,direct
2539,2,2,direct
2539,3,3,direct
2539,181,181,direct
2540,1,1,direct
2540,4,4,direct
2543,1,1,direct
2543,3,3,direct
