id,category_id,name,sort_order
1,1,叶菜,1
2,1,根茎,2
3,1,瓜果,3
4,1,葱蒜,4
5,1,鲜豆,5
6,1,其他蔬菜,6
7,2,仁果,7
8,2,核果,8
9,2,浆果,9
10,2,柑橘,10
11,2,瓜果,11
12,2,热带水果,12
13,2,其他水果,13
14,3,猪,14
15,3,牛,15
16,3,羊,16
17,3,其他畜肉,17
18,4,鸡,18
19,4,鸭,19
20,4,鹅,20
21,4,其他禽肉,21
22,5,鸡蛋,22
23,5,鸭蛋,23
24,5,鹅蛋,24
25,5,鹌鹑蛋,25
26,5,其他蛋类,26
27,6,鱼,27
28,6,虾,28
29,6,蟹,29
30,6,贝,30
31,6,其他水产,31
32,7,菌菇,32
33,7,藻类,33
34,8,薯类,34
35,8,芋类,35
36,9,大豆,36
37,9,杂豆,37
38,9,鲜豆,38
39,10,稻米,39
40,10,小麦,40
41,10,玉米,41
42,10,杂粮,42
43,10,坚果种子,43
