id,name,sort_order
1,蔬菜类及其制品,1
2,乳类及其制品,2
3,畜肉类及其制品,3
4,蛋类及其制品,4
5,薯类淀粉及其制品,5
6,谷类及其制品,6
7,禽肉类及其制品,7
8,坚果种子类,8
9,其他,9
10,水果类及其制品,10
11,菌藻类,11
12,鱼虾蟹贝类,12
13,干豆类及其制品,13
14,其他类,14
15,调味,15
