name,usage_count,category,category_major,category_sub,nutrition_match,nutrition_source_name,可食部%,水分g,能量kcal,能量kJ,蛋白质g,脂肪g,碳水化合物g,膳食纤维g,胆固醇mg,灰分g,维生素A(ugRE),胡萝卜素(ug),视黄醇(ug),硫胺素mg,核黄素mg,烟酸mg,维生素Cmg,维生素E总mg,钙mg,磷mg,钾mg,钠mg,镁mg,铁mg,锌mg,硒(ug),铜mg,锰mg,tcm_name,tcm_taste,tcm_user,tcm_not_user,tcm_side_effects,tcm_toxicity,tcm_production_place,category_source,quality
葱,1056,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,葱（小葱，鲜）,73,92.7,27,112,1.6,0.4,4.9,1.4,0,0.4,70,840,0,0.05,0.06,0.40,21.0,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16,葱,,,,,,分布：全国各地均有栽植。,nutrition_table,core
蒜,928,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,大蒜（白皮，鲜）［蒜头］,85,66.6,128,536,4.5,0.2,27.6,1.1,0,1.1,3,30,0,0.04,0.06,0.60,7.0,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29,蒜,,,,,,江苏等省,nutrition_table,core
姜,827,蔬菜类及其制品-薯芋类,蔬菜类及其制品,薯芋类,alias,姜（鲜）［黄姜］,95,87.0,46,194,1.3,0.6,10.3,2.7,0,0.8,14,170,0,0.02,0.03,0.80,4.0,—,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.20,姜,,一般人群均可食用。适宜伤风感冒、寒性痛经、晕车晕船者食用。,阴虚内热及邪热亢盛者忌食。,,,中国等亚洲地区,nutrition_table,core
牛奶,704,乳类及其制品-液态乳,乳类及其制品,液态乳,alias,纯牛奶（代表值，全脂）,100,87.6,65,271,3.3,3.6,4.9,0.0,17,0.7,54,—,54,0.03,0.12,0.11,Tr,0.13,107,90,180,63.7,11,0.3,0.28,1.34,0.01,0.01,牛奶,,,,,,,nutrition_table,core
猪肉,564,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,猪肉（代表值，fat30g）,91,54.9,331,1370,15.1,30.1,0.0,0.0,86,0.8,15,0,15,0.30,0.13,4.10,Tr,0.67,6,121,218,56.8,16,1.3,1.78,7.90,0.12,0.03,猪肉,,,,,,,nutrition_table,core
洋葱,540,蔬菜类及其制品-葱蒜类,蔬菜类及其制品,葱蒜类,alias,洋葱（鲜）［葱头］,90,89.2,40,169,1.1,0.2,9.0,0.9,0,0.5,2,20,0,0.03,0.03,0.30,8.0,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14,洋葱,,,,,,全世界,nutrition_table,core
胡萝卜,538,蔬菜类及其制品-根菜类,蔬菜类及其制品,根菜类,alias,胡萝卜（红）［金笋，丁香萝卜］,96,89.2,39,162,1.0,0.2,8.8,1.1,0,0.8,344,4130,0,0.04,0.03,0.60,13.0,0.41,32,27,190,71.4,14,1.0,0.23,0.63,0.08,0.24,胡萝卜,,一般人都可食用。更适宜癌症、高血压、夜盲症、干眼症患者、营养不良、食欲不振者、皮肤粗糙者。,一般人都可食用。,,,世界各地,nutrition_table,core
干辣椒,455,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,辣椒（红，尖，干）,88,14.6,295,1236,15.0,12.0,52.7,41.7,0,5.7,—,—,0,0.53,0.16,1.20,—,8.76,12,298,1085,4.0,131,6.0,8.21,—,0.61,11.70,干辣椒,,,,,,,nutrition_table,core
鸡蛋,440,蛋类及其制品-鸡蛋,蛋类及其制品,鸡蛋,alias,鸡蛋（代表值）,87,75.2,139,581,13.1,8.6,2.4,0.0,648,0.9,255,—,216,0.09,0.20,0.20,Tr,1.14,56,130,154,131.5,10,1.6,0.89,13.96,0.19,0.03,鸡蛋,,一般人均可食用适宜体质虚弱，营养不良，贫血及妇女产后病后调养；适宜婴幼儿发育期补养。,患高热、腹泻、肝炎、肾炎、胆囊炎、胆石症之人忌食；老年高血压、高血脂、冠心病人，宜少量食用鸡蛋，一般每日不超过1只，不宜多食，这样限量食用，既可补充优质蛋白质，又不影响血脂水平。,,,,nutrition_table,core
牛肉,406,畜肉类及其制品-牛,畜肉类及其制品,牛,alias,牛肉（代表值，fat9g）,100,69.8,160,669,20.0,8.7,0.5,0.0,58,1.1,3,0,3,0.04,0.11,4.15,Tr,0.68,5,182,212,64.1,22,1.8,4.70,3.15,0.05,0.03,牛肉,,,,,,,nutrition_table,core
香菜,401,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,香菜（鲜）［芫荽］,81,90.5,33,139,1.8,0.4,6.2,1.2,0,1.1,97,1160,0,0.04,0.14,2.20,48.0,0.80,101,49,272,48.5,33,2.9,0.45,0.53,0.21,0.28,香菜,,,,,,,nutrition_table,core
五花肉,399,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,猪肉（代表值，fat30g）,91,54.9,331,1370,15.1,30.1,0.0,0.0,86,0.8,15,0,15,0.30,0.13,4.10,Tr,0.67,6,121,218,56.8,16,1.3,1.78,7.90,0.12,0.03,五花肉,,,,,,,nutrition_table,core
芝士,387,乳类及其制品-奶酪,乳类及其制品,奶酪,alias,奶酪［干酪］,100,43.5,328,1366,25.7,23.5,3.5,—,11,3.8,152,—,152,0.06,0.91,0.60,—,0.60,799,326,75,584.6,57,2.4,6.97,1.50,0.13,0.16,芝士,,,,,,,nutrition_table,core
淀粉,363,薯类淀粉及其制品-淀粉类,薯类淀粉及其制品,淀粉类,alias,淀粉（小麦）,100,13.1,351,1469,0.2,0.5,86.0,0,0,0.2,0,0,0,0,0,0,0,—,14,33,8,3,5,0.6,0.1,—,0.02,—,淀粉,,,,,,,nutrition_table,core
青椒,351,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,辣椒（青、尖）,91,93.4,22,91,0.8,0.3,5.2,—,0,0.3,8,98,0,0.02,0.02,0.62,59.0,0.38,11,20,154,7.0,15,0.3,0.21,0.02,0.05,0.05,青椒,,一般人群均可食用。,1.眼疾患者、食管炎、胃肠炎、胃溃疡、痔疮患者应少吃或忌食；2.同时有火热病症或阴虚火旺，高血压，肺结核病的人慎食。,,,,nutrition_table,core
土豆,333,薯类淀粉及其制品-薯类,薯类淀粉及其制品,薯类,alias,马铃薯［土豆、洋芋］,94,78.6,81,343,2.6,0.2,17.8,1.1,0,0.8,1,6,0,0.10,0.02,1.10,14.0,0.34,7,46,347,5.9,24,0.4,0.3,0.47,0.09,0.1,土豆,,,,,含微量龙葵碱（0.005%— 0.01%）,北美,nutrition_table,core
玉米,319,谷类及其制品-玉米,谷类及其制品,玉米,alias,玉米（鲜）,46,71.3,112,469,4.0,1.2,22.8,2.9,0,0.7,—,—,0,0.16,0.11,1.80,16,0.46,—,117,238,1.1,32,1.1,0.90,1.63,0.09,0.22,玉米,,,,,,中国黄河以北地区居多,nutrition_table,core
番茄,318,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,番茄［西红柿］,97,95.2,15,62,0.9,0.2,3.3,—,0,0.4,31,375,0,0.02,0.01,0.49,14.0,0.42,4,24,179,9.7,12,0.2,0.12,Tr,0.04,0.06,番茄,,,,,,原产于中美洲和南美洲,nutrition_table,core
火腿,313,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,火腿（fat3g）,100,76.6,99,418,15.5,3.4,1.7,0.0,39,2.8,Tr,—,Tr,0.08,0.14,5.53,—,0.48,6,301,174,1471.3,11,1.0,2.09,7.96,0.07,0.03,火腿,,一般人群均可食用。适宜气血不足者食用；适宜脾虚久泻、胃口不开者食用；适宜体质虚弱、虚劳怔忡、腰脚无力者食用。,脾胃虚寒的泄泻下利之人，不宜多食；老年人、胃肠溃疡患者禁食；患有急慢性肾炎者忌食；凡浮肿、水肿、腹水者忌食；感冒未愈、湿热泄痢．积滞未尽、腹胀痞满者忌食。,,,,nutrition_table,core
鸡胸肉,303,禽肉类及其制品-鸡,禽肉类及其制品,鸡,alias,鸡胸脯肉,100,71.7,118,499,24.6,1.9,0.6,0.0,65,1.2,3,0,3,0.07,0.06,11.96,Tr,0.41,1,170,333,44.8,28,1.0,0.26,11.75,0.01,0.01,鸡胸肉,,,,,,,nutrition_table,core
面粉,299,谷类及其制品-小麦,谷类及其制品,小麦,alias,小麦粉（代表值）,100,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.20,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.10,0.23,0.37,面粉,,,,,,,nutrition_table,core
花生,299,坚果种子类-种子,坚果种子类,种子,alias,花生仁（生）,100,6.9,574,2400,24.8,44.3,21.7,5.5,0,2.3,3,30,0,0.72,0.13,17.90,2.0,18.09,39,324,587,3.6,178,2.1,2.50,3.94,0.95,1.25,花生,,一般人均可食用适宜营养不良，食欲不振，咳嗽痰啃之人食用；适宜脚气病患者食用；适宜妇女产后乳汁缺少者食用；适宜高血压病，高脂血症，冠心病，动脉硬化，以及各种出血性疾病之人食用；适宜儿童、青少年及老年人食用，能提高儿童记忆力，有助于老人滋补保健。,花生含油脂多，消化时需要多耗胆汁，故胆病患者不宜食用；花生能增进血凝，促进血栓形成，故患血黏度高或有血栓的人不宜食用；体寒湿滞及肠滑便泄者不宜服食。,,,,nutrition_table,core
辣椒,290,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,辣椒（红，小）,80,88.8,38,159,1.3,0.4,8.9,3.2,0,0.6,116,1390,0,0.03,0.06,0.80,144.0,0.44,37,95,222,2.6,16,1.4,0.30,1.90,0.11,0.18,辣椒,,,,,,现在世界各国普遍栽培,nutrition_table,core
低筋面粉,278,谷类及其制品-小麦,谷类及其制品,小麦,alias,小麦粉（特二粉）,100,12.0,352,1472,10.4,1.1,75.9,1.6,0,0.6,0,0,0,0.15,0.11,2.00,0,1.25,30,120,124,1.5,48,3.0,0.96,6.01,0.58,0.92,低筋面粉,,,,,,,nutrition_table,core
小米椒,266,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,辣椒（小红尖辣椒）,89,76.4,62,254,4.1,0.4,17.7,11.8,0,1.4,—,—,0,0.16,0.16,2.51,86.0,8.11,29,115,18,11.5,59,0.6,0.33,0.96,0.20,0.30,小米椒,,,,,,,nutrition_table,core
中筋面粉,259,谷类及其制品-小麦,谷类及其制品,小麦,alias,小麦粉（标准粉）,100,9.9,362,1531,15.7,2.5,70.9,—,0,1.0,0,0,0,0.46,0.05,1.91,0,0.32,31,167,190,3.1,50,0.6,0.20,7.42,0.06,0.10,中筋面粉,,,,,,,nutrition_table,core
椰浆,246,其他-饮品,其他,饮品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,椰浆,,,,,,,nutrition_table,common
黄瓜,243,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,黄瓜（鲜）［胡瓜］,92,95.8,16,65,0.8,0.2,2.9,0.5,0,0.3,8,90,0,0.02,0.03,0.20,9.0,0.49,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06,黄瓜,,一般人群均可食用。适宜热病患者、肥胖、高血压、高血脂、水肿、癌症、嗜酒者多食，并且是糖尿病人首选的食品之一。,脾胃虚弱、腹痛腹泻、肺寒咳嗽者都应少吃，因黄瓜性凉，胃寒患者食之易致腹痛泄泻。,,,,nutrition_table,core
鸡腿肉,241,禽肉类及其制品-鸡,禽肉类及其制品,鸡,alias,鸡腿,74,71.7,146,610,20.2,7.2,0.0,0.0,99,0.9,22,0,22,0.06,0.10,3.25,Tr,Tr,0,271,221,73.6,21,1.8,1.11,9.70,0.01,0.01,鸡腿肉,,,,,,,nutrition_table,core
培根,240,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,腊肉（培根）,100,63.1,181,756,22.3,9.0,2.6,0.0,46,3.0,Tr,0,Tr,0.90,0.11,4.50,Tr,0.11,2,228,294,51.2,3,2.4,2.26,5.50,0.03,0.05,培根,,,,,,,nutrition_table,core
大米,239,谷类及其制品-稻米,谷类及其制品,稻米,alias,稻米（代表值）,100,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2.00,0,0.43,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,大米,,,,,,,nutrition_table,core
红枣,238,水果类及其制品-核果类,水果类及其制品,核果类,alias,枣（鲜）,87,67.4,125,524,1.1,0.3,30.5,1.9,0,0.7,20,240,0,0.06,0.09,0.90,243.0,0.78,22,23,375,1.2,25,1.2,1.52,0.80,0.06,0.32,红枣,,,,,,,nutrition_table,core
酸奶,227,乳类及其制品-酸奶,乳类及其制品,酸奶,alias,酸奶（代表值，全脂）,100,81.0,86,363,2.8,2.6,12.9,—,8,0.7,23,—,23,0.03,0.12,0.09,1.3,0.12,128,76,150,37.7,11,0.3,0.43,1.30,0.04,0.01,酸奶,,,,,,,nutrition_table,core
葡萄干,225,水果类及其制品-浆果类,水果类及其制品,浆果类,alias,葡萄干,100,11.6,344,1439,2.5,0.4,83.4,1.6,0,2.1,—,—,0,0.09,—,—,5.0,—,52,90,995,19.1,45,9.1,0.18,2.74,0.48,0.39,葡萄干,,,,,,,nutrition_table,core
柠檬,220,水果类及其制品-柑橘类,水果类及其制品,柑橘类,alias,柠檬,66,91.0,37,156,1.1,1.2,6.2,1.3,0,0.5,Tr,Tr,0,0.05,0.02,0.60,22.0,1.14,101,22,209,1.1,37,0.8,0.65,0.50,0.14,0.05,柠檬,,一般人群均可食用，暑热口干烦躁、消化不良者，维生素C缺乏者，胎动不安的孕妇，肾结石患者，高血压、心肌梗死患者适宜食用。,胃溃疡、胃酸分泌过多，患有龋齿者和糖尿病患者慎食。,,无毒,意大利,nutrition_table,core
香菇,215,菌藻类-菌类,菌藻类,菌类,alias,香菇（鲜）［香蕈，冬菇］,100,91.7,26,107,2.2,0.3,5.2,3.3,0,0.6,—,—,0,Tr,0.08,2.00,1.0,—,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25,香菇,,,,,,,nutrition_table,core
可可粉,213,其他-烘焙与加工食品,其他,烘焙与加工食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可可粉,,,,,,,nutrition_table,common
鸡肉,213,禽肉类及其制品-禽肉,禽肉类及其制品,禽肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鸡肉,,一般人群均可食用，老人、病人、体弱者更宜食用。,1.感冒发热、内火偏旺、痰湿偏重之人、肥胖症、患有热毒疖肿之人、高血压、血脂偏高、胆囊炎、胆石症的人忌食；2.鸡肉性温，助火，肝阳上亢及口腔糜烂、皮肤疖肿、大便秘结者不宜食用；3.动脉硬化、冠心病和高血脂患者忌饮鸡汤；感冒伴有头痛、乏力、发热的人忌食鸡肉，鸡汤。,,,,nutrition_table,common
巧克力,210,其他-烘焙与加工食品,其他,烘焙与加工食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,巧克力,,,,,,,nutrition_table,common
杏仁,200,坚果种子类-树坚果,坚果种子类,树坚果,alias,杏仁,100,5.6,578,2419,22.5,45.4,23.9,8.0,0,2.6,—,—,0,0.08,0.56,—,26.0,18.53,97,27,106,8.3,178,2.2,4.30,15.65,0.80,0.77,杏仁,,,,,,,nutrition_table,core
芝麻,199,坚果种子类-种子,坚果种子类,种子,alias,芝麻子（白）,100,5.3,536,2244,18.4,39.6,31.5,9.8,0,5.2,—,—,0,0.36,0.26,3.8,—,38.28,620,513,266,32.2,202,14.1,4.21,4.06,1.41,1.17,芝麻,,一般人群均可食用适宜肝肾不足所致的眩晕、眼花、视物不清、腰酸腿软、耳鸣耳聋、发枯发落、头发早白之人食用；适宜妇女产后乳汁缺乏者食用；适宜身体虚弱、贫血、高脂血症、高血压病、老年哮喘、肺结核，以及荨麻疹，习惯性便秘者食用；适宜糖尿病、血小板减少性紫瘴、慢性神经炎、末梢神经麻痹、痔疮以及出血性素质者食用。,患有慢性肠炎、便溏腹泻者忌食；根据前人经验，男子阳痿、遗精者忌食。,,,热带及部分温带地区,nutrition_table,core
意大利面,196,谷类及其制品-谷物,谷类及其制品,谷物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,意大利面,,,,,,,nutrition_table,common
高筋面粉,195,谷类及其制品-小麦,谷类及其制品,小麦,alias,小麦粉（特制）,100,10.4,366,1554,13.3,2.2,73.5,0.3,0,0.6,0,0,0,0.09,0.04,1.01,0,Tr,23,167,356,60.3,105,0.0,0.94,8.41,Tr,0.02,高筋面粉,,,,,,,nutrition_table,core
芹菜,194,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,芹菜（茎）［旱芹，药芹］,100,95.4,13,55,0.4,0.2,3.1,1.0,0,0.9,2,18,0,0.01,0.02,0.22,2.0,Tr,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04,芹菜,,一般人群均可食用。特别适合高血压、动脉硬化、高血糖、缺铁性贫血、经期妇女食用。,1.芹菜性凉质滑，脾胃虚寒、大便溏薄者不宜多食，芹菜有降血压作用，故血压偏低者慎用；2.计划生育的男性应注意适量少食。,,,地中海地区和中东,nutrition_table,core
香肠,191,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,香肠,100,19.2,508,2106,24.1,40.7,11.2,0.0,82,4.8,Tr,—,Tr,0.48,0.11,4.40,—,1.05,14,198,453,2309.2,52,5.8,7.61,8.77,0.31,0.36,香肠,,,,,,,nutrition_table,core
红薯,186,薯类淀粉及其制品-薯类,薯类淀粉及其制品,薯类,alias,甘薯（白心）［红皮山芋］,86,72.6,106,444,1.4,0.2,25.2,1.0,0,0.6,18,220,0,0.07,0.04,0.60,24.0,0.43,24,46,174,58.2,17,0.8,0.22,0.63,0.16,0.21,红薯,,,,,,,nutrition_table,core
马苏里拉芝士,186,其他-烘焙与加工食品,其他,烘焙与加工食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,马苏里拉芝士,,,,,,,nutrition_table,common
白菜,185,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,大白菜（代表值）,89,94.4,20,82,1.6,0.2,3.4,0.9,0,0.7,7,80,0,0.05,0.04,0.65,37.5,0.36,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19,白菜,,"一般人均可食用。特别适合肺热咳嗽、便秘、肾病患者多食，同时女性也应该多吃。
",大白菜性偏寒凉，胃寒腹痛、大便溏泻及寒痢者不可多食。,,,中国,nutrition_table,core
生菜,182,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,生菜［叶用莴苣］,94,96.7,12,51,1.6,0.4,1.1,—,0,0.2,2,26,0,0.02,0.01,—,Tr,Tr,14,12,91,16.1,7,0.2,0.12,0.04,0.01,0.06,生菜,,,,,,东亚，中国东南沿海大部有栽培,nutrition_table,core
南瓜,182,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,南瓜（鲜）［倭瓜，番瓜］,85,93.5,23,97,0.7,0.1,5.3,0.8,0,0.4,74,890,0,0.03,0.04,0.40,8.0,0.36,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08,南瓜,,,,,,韩国仁川以南地区,nutrition_table,core
全麦面粉,176,其他-烘焙与加工食品,其他,烘焙与加工食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全麦面粉,,,,,,,nutrition_table,common
抹茶粉,176,其他-烘焙与加工食品,其他,烘焙与加工食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,抹茶粉,,,,,,,nutrition_table,common
坚果,171,坚果种子类-坚果种子,坚果种子类,坚果种子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,坚果,,,,,,,nutrition_table,common
排骨,170,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,猪大排,68,58.8,264,1095,18.3,20.4,1.7,0.0,165,0.8,12,0,12,0.80,0.15,5.30,Tr,0.11,8,125,274,44.5,17,0.8,1.72,10.30,0.12,0.05,排骨,,,,,,,nutrition_table,core
黑芝麻,169,坚果种子类-种子,坚果种子类,种子,alias,芝麻子（黑）,100,5.7,559,2340,19.1,46.1,24.0,14.0,0,5.1,—,—,0,0.66,0.25,5.9,—,50.40,780,516,358,8.3,290,22.7,6.13,4.70,1.77,17.85,黑芝麻,,一般人均可食用适宜肝肾不足所致的眩晕、眼花、视物不清、腰酸腿软、耳鸣耳聋、发枯发落、头发早白之人食用；适宜妇女产后乳汁缺乏者食用；适宜身体虚弱、贫血、高脂血症、高血压病、老年哮喘、肺结核，以及荨麻疹，习惯性便秘者食用；适宜糖尿病、血小板减少性紫瘴、慢性神经炎、末梢神经麻痹、痔疮以及出血性素质者食用。,患有慢性肠炎、便溏腹泻者忌食；根据前人经验，男子阳痿、遗精者忌食。,,,,nutrition_table,core
木耳,169,菌藻类-菌类,菌藻类,菌类,alias,木耳（干）［黑木耳，云耳］,100,15.5,265,1107,12.1,1.5,65.6,29.9,0,5.3,8,100,0,0.17,0.44,2.50,—,11.34,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86,木耳,,,,,无毒,吉林,nutrition_table,core
燕麦,169,谷类及其制品-其他,谷类及其制品,其他,exact,燕麦,100,10.2,338,1433,10.1,0.2,77.4,6.0,0,2.1,Tr,Tr,0,0.46,0.07,—,,0.91,58,342,356,2.1,116,2.9,1.75,—,0.21,3.91,燕麦,,,,,无毒,,nutrition_table,core
白芝麻,166,坚果种子类-种子,坚果种子类,种子,alias,芝麻子（白）,100,5.3,536,2244,18.4,39.6,31.5,9.8,0,5.2,—,—,0,0.36,0.26,3.8,—,38.28,620,513,266,32.2,202,14.1,4.21,4.06,1.41,1.17,白芝麻,,,,,,,nutrition_table,core
猪里脊,165,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,猪肉（里脊）,100,74.7,150,626,19.6,7.9,0.0,0.0,55,1.2,Tr,0,Tr,0.32,0.20,6.37,Tr,0.33,6,184,317,43.2,28,1.5,2.01,8.32,0.01,Tr,猪里脊,,,,,,,nutrition_table,core
海苔,165,菌藻类-藻类,菌藻类,藻类,alias,紫菜（干）,100,12.7,250,1050,26.7,1.1,44.1,21.6,0,15.4,114,1370,0,0.27,1.02,7.30,2.0,1.82,264,350,1796,710.5,105,54.9,2.47,7.22,1.68,4.32,海苔,,,,,,,nutrition_table,core
核桃,164,坚果种子类-树坚果,坚果种子类,树坚果,alias,核桃（鲜）,43,49.8,336,1406,12.8,29.9,6.1,4.3,0,1.4,—,—,0,0.07,0.14,1.40,10.0,41.17,—,—,—,—,—,—,—,—,—,—,核桃,,,,,,欧洲东南部,nutrition_table,core
圣女果,163,蔬菜类及其制品-茄果瓜菜类,蔬菜类及其制品,茄果瓜菜类,alias,樱桃番茄［小西红柿］,98,92.5,25,107,1.0,0.2,5.8,—,0,0.5,28,332,0,0.03,0.02,0.92,33.0,0.98,6,26,262,10.0,12,0.3,0.20,0.20,0.04,0.06,圣女果,,,,,,大洋洲热带及亚热带地区,nutrition_table,core
葱姜蒜,163,蔬菜类及其制品-蔬菜,蔬菜类及其制品,蔬菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葱姜蒜,,,,,,,nutrition_table,common
菠菜,162,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,菠菜（鲜）［赤根菜］,89,91.2,28,116,2.6,0.3,4.5,1.7,0,1.4,243,2920,0,0.04,0.11,0.60,32.0,1.74,66,47,311,85.2,58,2.9,0.85,0.97,0.10,0.66,菠菜,,,,,,,nutrition_table,core
青菜,157,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,小白菜［青菜］,94,94.8,14,59,1.4,0.3,2.4,—,0,1.1,154,1853,0,0.01,0.05,—,64.0,0.40,117,26,116,132.2,30,1.3,0.23,0.39,0.02,0.15,青菜,,,,,,,nutrition_table,core
炼乳,156,乳类及其制品-其他,乳类及其制品,其他,alias,炼乳（甜，罐头）,100,26.2,332,1400,8.0,8.7,55.4,0.0,36,1.7,41,—,41,0.03,0.16,0.30,2.0,0.28,242,200,309,211.9,24,0.4,1.53,3.26,0.04,0.04,炼乳,,,,,,,nutrition_table,core
奶粉,156,乳类及其制品-奶粉,乳类及其制品,奶粉,alias,全脂奶粉（代表值）,100,2.6,482,2020,19.9,22.3,50.5,—,79,4.7,380,—,163,0.13,1.90,0.50,23.6,0.48,928,513,777,352.0,65,4.6,3.93,12.09,0.13,0.04,奶粉,,,,,,,nutrition_table,core
虾仁,155,鱼虾蟹贝类-虾,鱼虾蟹贝类,虾,alias,虾米［海米、虾仁］,100,37.4,198,839,43.7,2.6,0.0,0.0,525,17.0,21,—,21,0.01,0.12,5.00,Tr,1.46,555,666,550,4891.9,236,11.0,3.82,75.40,2.33,0.77,虾仁,,,,,,,nutrition_table,core
草莓,152,水果类及其制品-浆果类,水果类及其制品,浆果类,alias,草莓［洋莓，凤阳草莓］,97,91.3,32,134,1.0,0.2,7.1,1.1,0,0.4,3,30,0,0.02,0.03,0.30,47.0,0.71,18,27,131,4.2,12,1.8,0.14,0.70,0.04,0.49,草莓,,,,,无毒,世界各地均有分布,nutrition_table,core
芒果,152,水果类及其制品-热带亚热带水果,水果类及其制品,热带亚热带水果,alias,芒果［抹猛果，望果］,60,90.6,35,146,0.6,0.2,8.3,1.3,0,0.3,75,897,0,0.01,0.04,0.30,23.0,1.21,—,11,138,2.8,14,0.2,0.09,1.44,0.06,0.20,芒果,,,,,,马来西亚和中国,nutrition_table,core
火腿肠,149,畜肉类及其制品-猪,畜肉类及其制品,猪,alias,火腿肠,100,57.4,212,888,14.0,10.4,15.6,0.0,57,2.6,5,—,5,0.26,0.43,2.30,—,0.71,9,187,217,771.2,22,4.5,3.22,9.20,0.36,0.14,火腿肠,,,,,,,nutrition_table,core
米饭,147,谷类及其制品-稻米,谷类及其制品,稻米,alias,稻米（代表值）,100,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2.00,0,0.43,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,米饭,,,,,,,nutrition_table,core
红薯粉,144,薯类淀粉及其制品-薯类,薯类淀粉及其制品,薯类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,红薯粉,,,,,,,nutrition_table,common
油菜,143,蔬菜类及其制品-嫩茎叶花菜类,蔬菜类及其制品,嫩茎叶花菜类,alias,油菜,96,95.6,14,57,1.3,0.5,2.0,—,0,0.9,90,1083,0,0.02,0.05,0.55,—,Tr,148,23,175,73.7,25,0.9,0.31,0.73,0.03,0.23,油菜,,"一般人均可食用。特别适宜患口腔溃疡、口角湿白、齿龈出血、牙齿松动、淤血腹痛、癌症患者。
",痧痘、孕早期妇女、目疾患者、小儿麻疹后期、疥疮、狐臭等慢性病患者要少食。,,,,nutrition_table,core
金针菇,140,菌藻类-菌类,菌藻类,菌类,alias,金针菇（鲜）［智力菇］,100,90.2,32,133,2.4,0.4,6.0,2.7,0,1.0,3,30,0,0.15,0.19,4.10,2.0,1.14,—,97,195,4.3,17,1.4,0.39,0.28,0.14,0.10,金针菇,,1.一般人群均可食用。2.适合气血不足、营养不良的老人、儿童、癌症患者、肝脏病及胃、肠道溃疡、心脑血管疾病患者食用。,脾胃虚寒者金针菇不宜吃得太多。,,,,nutrition_table,core
蔓越莓,140,水果类及其制品-水果,水果类及其制品,水果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔓越莓,,,,,,,nutrition_table,common
